original_row,degree,supercategory,subcategory,valence,target,adjective_form,phrase,n,mean_frequency,max_frequency,type
1,height,animals,chimpanzee,medium,big,positive,chimpanzees,9,315199,378379,subcategory
3,height,animals,chimpanzee,medium,big,positive,monkeys,3,4144229,4144229,in between
4,height,animals,chimpanzee,medium,big,positive,animals,2,58179731,58179731,supercategory
5,height,animals,chimpanzee,medium,small,negative,chimpanzees,7,317455,378379,subcategory
6,height,animals,chimpanzee,medium,small,negative,animals,3,58179731,58179731,supercategory
8,height,animals,chimpanzee,medium,small,negative,monkeys,2,4144229,4144229,in between
9,height,animals,chimpanzee,medium,small,negative,primates,1,1013017,1013017,in between
10,height,animals,elephant,high,big,positive,animals,13,58179731,58179731,supercategory
11,height,animals,elephant,high,big,positive,elephants,3,2082778,2082778,subcategory
12,height,animals,elephant,high,big,positive,vegetables,1,9067552,9067552,not relevant
13,height,animals,elephant,high,small,negative,elephants,9,2531023,6116985,subcategory
15,height,animals,elephant,high,small,negative,giraffes,1,260416,260416,different subcategory
16,height,animals,porcupine,low,big,positive,porcupines,9,86556,86556,subcategory
17,height,animals,porcupine,low,big,positive,animals,5,58179731,58179731,supercategory
18,height,animals,porcupine,low,big,positive,critters,1,1055985,1055985,in between
19,height,animals,porcupine,low,small,negative,porcupines,7,86556,86556,subcategory
20,height,animals,porcupine,low,small,negative,animals,5,58179731,58179731,supercategory
21,temperature,beverages,cup of coffee,high,cold,negative,coffee,6,14112760,42090859,subcategory
22,temperature,beverages,cup of coffee,high,cold,negative,drinks,3,11137329,11137329,supercategory synonym
24,temperature,beverages,cup of coffee,high,cold,negative,hot beverages,1,45128,45128,in between
25,temperature,beverages,cup of coffee,high,cold,negative,warm coffee,1,4745,4745,in between
26,temperature,beverages,cup of coffee,high,cold,negative,warm drinks,1,8480,8480,in between
27,temperature,beverages,cup of coffee,high,warm,positive,drinks,7,11137329,11137329,supercategory synonym
28,temperature,beverages,cup of coffee,high,warm,positive,coffee,5,8517141,42090859,subcategory
29,temperature,beverages,cup of coffee,high,warm,positive,beverages,3,123711,123711,supercategory
31,temperature,beverages,cup of iced tea,low,cold,negative,drinks,6,11137329,11137329,supercategory synonym
32,temperature,beverages,cup of iced tea,low,cold,negative,tea,3,18293438,27413229,in between
33,temperature,beverages,cup of iced tea,low,cold,negative,iced tea,3,139086,393524,subcategory
37,temperature,beverages,cup of iced tea,low,warm,positive,beverages,3,6337606,6337606,supercategory
38,temperature,beverages,cup of iced tea,low,warm,positive,tea,3,9173468,27413229,in between
39,temperature,beverages,cup of iced tea,low,warm,positive,drinks,2,11137329,11137329,supercategory synonym
40,temperature,beverages,cup of iced tea,low,warm,positive,cold drinks,1,109573,109573,in between
41,temperature,beverages,cup of iced tea,low,warm,positive,iced tea,4,105540,393524,subcategory
42,temperature,beverages,cup of iced tea,low,warm,positive,days,1,305158140,305158140,not relevant
44,temperature,beverages,cup of iced tea,low,warm,positive,iced beverages,1,1635,1635,in between
48,temperature,beverages,cup of water,medium,cold,negative,drinks,8,11137329,11137329,supercategory synonym
49,temperature,beverages,cup of water,medium,cold,negative,beverages,2,6337606,6337606,supercategory
50,temperature,beverages,cup of water,medium,cold,negative,water,3,143479073,215184660,subcategory
51,temperature,beverages,cup of water,medium,cold,negative,cities,1,59810742,59810742,not relevant
53,temperature,beverages,cup of water,medium,warm,positive,water,10,143524339,215184660,subcategory
55,temperature,beverages,cup of water,medium,warm,positive,beverages,1,6337606,6337606,supercategory
56,temperature,beverages,cup of water,medium,warm,positive,cups,1,8939639,8939639,different supercategory
57,temperature,beverages,cup of water,medium,warm,positive,drinks,1,11137329,11137329,supercategory synonym
58,price,bikes,city bike,medium,cheap,negative,bikes,12,10741844,10741844,supercategory
59,price,bikes,city bike,medium,cheap,negative,city bikes,2,21075,21075,subcategory
60,price,bikes,city bike,medium,cheap,negative,bike prices,1,17598,17598,degree reference
61,price,bikes,city bike,medium,cheap,negative,transportation,1,53123660,53123660,functional reference
62,price,bikes,city bike,medium,expensive,positive,bikes,9,10741844,10741844,supercategory
63,price,bikes,city bike,medium,expensive,positive,city bikes,1,21075,21075,subcategory
64,price,bikes,electric bike,high,cheap,negative,electric bikes,12,86137,86137,subcategory
65,price,bikes,electric bike,high,cheap,negative,bikes,6,10741844,10741844,supercategory
66,price,bikes,electric bike,high,expensive,positive,bikes,5,10741844,10741844,supercategory
67,price,bikes,electric bike,high,expensive,positive,electric bikes,4,86137,86137,subcategory
68,price,bikes,kids bike,low,cheap,negative,bikes,10,10741844,10741844,supercategory
69,price,bikes,kids bike,low,cheap,negative,bike costs,1,1089,1089,degree reference
70,price,bikes,kids bike,low,cheap,negative,kids bikes,1,64076,64076,subcategory
71,price,bikes,kids bike,low,expensive,positive,kids bikes,9,57089,64076,subcategory
72,price,bikes,kids bike,low,expensive,positive,bikes,6,10741844,10741844,supercategory
74,sound,cars,electric car,low,loud,positive,electric cars,8,171936,171936,subcategory
75,sound,cars,electric car,low,loud,positive,cars,5,109722086,109722086,supercategory
76,sound,cars,electric car,low,loud,positive,car engines,1,95314,95314,below subcategory
