model_variant,stim_id,subordinate,mu,sigma
flat,stim_1,crow,-1.76306633064566,0.9476764362704486
flat,stim_1,parrot,0.700046668697509,0.2994043773695295
flat,stim_1,seagull,1.3771317891236827,1.193710338543235
flat,stim_10,jolly rancher,0.9412445775833981,0.98465711927902
flat,stim_10,marshmallow,-1.6274239565714868,0.054012653706864935
flat,stim_10,piece of chocolate,-0.6789136853280854,0.15116671444369495
flat,stim_11,carpet,-1.328877766772822,1.4391390039980694
flat,stim_11,tile,1.1747764084480088,1.161002857186799
flat,stim_11,wood,0.7392470020576217,0.9956629940948017
flat,stim_12,banana,-1.0415991778720004,0.18628836578603114
flat,stim_12,mango,-0.40998616128360377,0.956745800492658
flat,stim_12,melon,0.9564962294269183,0.20826633490841173
flat,stim_13,cotton,-1.4468364853207352,0.5124791559469455
flat,stim_13,plastic,0.42234877531981135,0.1703600005126653
flat,stim_13,wood,1.18028191539817,0.07183146026639001
flat,stim_14,bedboard,1.1360445150640852,0.18223679644838983
flat,stim_14,blanket,-2.730173563841334,1.473662219073368
flat,stim_14,pillow,-1.401188672617992,0.4033669848167861
flat,stim_15,giraffe,2.3684575100470346,0.4317478007719529
flat,stim_15,monkey,-1.4636599606013811,0.1528846914790962
flat,stim_15,penguin,-0.9652762372061381,0.4284708094374776
flat,stim_16,apartment building,0.5606116416341147,0.9543968854087423
flat,stim_16,skyscraper,1.2030538018144106,0.7050909538693679
flat,stim_16,strip mall,-0.6332172247258897,0.43657881054720216
flat,stim_17,adult,0.7064775733418714,0.22197221684382495
flat,stim_17,child,-2.0145588289023593,0.3071024861613657
flat,stim_17,teenager,-0.6517790073079797,0.17203870926285586
flat,stim_18,pansy,-0.5551795048212482,0.8993115283540483
flat,stim_18,sunflower,0.940123466308223,0.2939292390756829
flat,stim_18,tulip,0.26327007474594283,0.5732708174357672
flat,stim_19,basketball player,1.5966604892507354,0.045719300582856906
flat,stim_19,golfer,0.31017353794317526,1.0417806191188865
flat,stim_19,jockey,-1.0054179452020087,0.04361916998384091
flat,stim_2,black paint,-1.255315034728212,0.9329031788878088
flat,stim_2,blue paint,-0.16576903306298657,0.49032151677877367
flat,stim_2,white paint,1.2430103753187405,1.3018087487323877
flat,stim_20,alpine tree,0.42012169586039333,0.7295261048277127
flat,stim_20,bonsai tree,-1.3521189455226188,1.2431485602244203
flat,stim_20,redwood tree,0.8176934470834394,0.5792061222012229
flat,stim_21,bassett hound,0.27900931985282784,0.4102053876480677
flat,stim_21,chihuahua,-2.6669175808989207,1.8004214589973317
flat,stim_21,dachshund,0.6307161552857757,0.521906281070965
flat,stim_22,hamster,-1.3638080768308063,0.13984056257296212
flat,stim_22,mouse,-2.86809197083292,1.1458027326939875
flat,stim_22,snake,1.432713756917337,0.09098830648595119
flat,stim_23,novel,0.596540185004137,0.09597519039798089
flat,stim_23,poem,-1.2096222575938487,0.17219657296860047
flat,stim_23,story,0.10077294951752591,1.0655989468756926
flat,stim_24,limousine,1.364417429234145,0.06331153362199979
flat,stim_24,pick-up truck,1.2653680774975666,1.607286103460079
flat,stim_24,smartcar,-2.4849010676436367,2.0465277497870225
flat,stim_25,documentary,0.8282703295630036,0.2237085776508397
flat,stim_25,movie,0.9791806651933521,0.0617216412958639
flat,stim_25,sitcom,-0.8337613024912827,0.8399330167142602
flat,stim_26,alley,-1.123530488569042,0.10375443421977905
flat,stim_26,highway,0.9384496824565487,0.5477324316121065
flat,stim_26,street,0.06811855214073226,1.232881629825429
flat,stim_27,relay race,0.02360003421106649,0.08206137977217567
flat,stim_27,sprinting race,-0.5984947622059993,1.1041725954690613
flat,stim_27,triathlon race,0.6999392461031136,0.8057109094780296
flat,stim_28,opera,1.2517212330162004,0.35453076274089773
flat,stim_28,podcast episode,0.8721250029681803,0.15003893391948725
flat,stim_28,song,0.0014131376216674485,0.8659276656669264
flat,stim_29,choral concert,-0.10674866956991175,0.4029747143162795
flat,stim_29,rap concert,2.28369119537959,2.2386856205949996
flat,stim_29,rock concert,0.870628727278779,1.1958194862437752
flat,stim_3,cheesecake,1.1410445094545747,0.44495670263222203
flat,stim_3,chocolate cake,-2.7567781516978447,1.629293194438267
flat,stim_3,fruit cake,-0.0644291075598899,0.31766931552060684
flat,stim_30,church,-1.2528531822464999,0.3805383591174266
flat,stim_30,conference center,0.3698698433253011,0.3786369678168324
flat,stim_30,party,1.3014955999287983,0.08715953915815797
flat,stim_31,cat,-0.8821387719578176,0.4774175731473025
flat,stim_31,fish,-1.4434672243165205,0.15796460961951592
flat,stim_31,parrot,2.141200725635364,1.2335733453372735
flat,stim_32,concert,2.2599363545404456,1.0575135315730406
flat,stim_32,library,-1.5101047066587887,0.5171517010758755
flat,stim_32,restaurant,0.46260280024327277,0.07693579765974128
flat,stim_33,crow,2.4173809437901377,1.8876736103655274
flat,stim_33,finch,0.16451257102374683,0.9197658346484809
flat,stim_33,rooster,1.2509994767395582,0.5894489661200129
flat,stim_34,guitar,0.5689927903723964,0.3544544118901277
flat,stim_34,harp,-0.9993240307770348,1.3084185424294856
flat,stim_34,horn,1.558001179100699,1.557151115362569
flat,stim_35,adult,-0.051813485174554974,1.2853863974476587
flat,stim_35,baby,0.47029023463503655,0.09619492880661012
flat,stim_35,teenager,0.8937120472057434,0.08744397193110494
flat,stim_36,city,0.8284994441711429,0.04880885148870204
flat,stim_36,town,-1.0395027386568794,0.1715625638237035
flat,stim_36,village,-1.5008856008323326,1.797323419372796
flat,stim_37,car,0.1943708545884859,1.5902001638824612
flat,stim_37,electric car,-1.9160949139517518,1.911594747662415
flat,stim_37,tractor,1.0078464905640843,0.33301150477580527
flat,stim_38,mockingbird,0.7497729845241441,1.5209956096884478
flat,stim_38,owl,0.23100231311399422,0.5381293482161266
flat,stim_38,woodpecker,0.8874089138382595,0.9869385600084017
flat,stim_39,powerboat,2.39442337678068,1.556040724041062
flat,stim_39,rowboat,-0.7627687290552712,0.8217607548842851
flat,stim_39,sailboat,-0.9471346575475263,1.111611267543456
flat,stim_4,day,1.6058806249933621,0.2693624916193545
flat,stim_4,dusk,-0.9869779141680164,1.3354185508518601
flat,stim_4,night,-1.9757421501804922,0.06645711574624515
flat,stim_40,acoustic guitar,-0.48391473840060506,0.9399754412331389
flat,stim_40,bass guitar,0.18716787430080503,0.9446597350234958
flat,stim_40,ukelele,-0.38420624304358264,0.9680639535863114
flat,stim_41,bronze,0.3548377572886646,0.7725880607181169
flat,stim_41,plastic,-0.9139026847680625,1.5435400142603388
flat,stim_41,platinum,0.8084912094059946,1.1014166016483016
flat,stim_42,apartment,0.10613580379762955,1.1801524290530454
flat,stim_42,house,0.5449329556247866,0.11732697671093849
flat,stim_42,villa,1.2551792799808466,0.965911920792591
flat,stim_43,boots,0.5669881924158743,0.09811028735550004
flat,stim_43,sandals,-2.779440662622399,1.9636969655798904
flat,stim_43,sneakers,-0.074278357841431,0.15335531455933743
flat,stim_44,garlic,-0.5861334106941476,0.9463621263543472
flat,stim_44,saffron,0.7980769519888269,1.1058597498512912
flat,stim_44,salt,-1.3832782891555686,2.060241480998129
flat,stim_45,gold,1.2246484403337732,1.5209120058453376
flat,stim_45,metal,-0.0456179490291071,0.6630672021329936
flat,stim_45,plastic,-2.816025886583298,2.3555193798907412
flat,stim_46,coat,1.0974826673591105,0.15017495663945402
flat,stim_46,shirt,-0.7569453782234321,0.814372810695272
flat,stim_46,suit,1.4371067272859381,0.10280218420709535
flat,stim_47,boysenberries,0.7449040633682327,1.1090170845213723
flat,stim_47,raspberries,0.37856549363023506,0.9146806165102863
flat,stim_47,strawberries,-0.005919458727123572,0.10200146906854382
flat,stim_48,chicken,-1.0314926559639077,1.1606014379337604
flat,stim_48,pork,-0.1451272454306738,0.5541706386061709
flat,stim_48,steak,2.3419914665867934,1.2894153160311845
flat,stim_49,bottle of top-shelf liquor,1.532782601188276,0.12573783920547835
flat,stim_49,bottle of wine,0.0995481283958885,0.2341533407418372
flat,stim_49,six-pack of beer,-1.3176507126912724,0.10530993681960127
flat,stim_5,pen,-0.7450605450066403,1.0196403915262513
flat,stim_5,pencil,0.23330106242608256,0.11929302621756949
flat,stim_5,piece of chalk,0.5777276733580641,0.9550522702009258
flat,stim_50,Chinese restaurant,-0.3048535051863388,0.7279907039450074
