workerid,degree,positive,negative,neither_nor,superordinate,context
0,darkness,the day,the night,dusk,times of day,PERSON steps outside during PHRASE
0,height,adult,child,teenager,people,PERSON sees PRE PHRASE
0,price,steak,pork,chicken,meat,PERSON is at the butchershop and looks at the price of a piece of PHRASE
0,size,dog,hamster,cat,pets,PERSON looks at their friend’s pet PHRASE
0,sound,drums,violin,piano,instruments,PERSON hears somebody playing the PHRASE
0,time,class,break,lecture,school events,PERSON is going to attend a PHRASE
0,weight,box,envelope,package,mail,The mailman drops off PRE PHRASE for PERSON. PERSON picks it up
1,darkness,khakis,jeans,dress slacks,pants,PERSON tries on a pair of PHRASE
1,height,basketball player,jockey,baseball player,athletes,PERSON sees PRE PHRASE
1,price,bottle of top-shelf liquor,box of wine,bottle of wine,alcoholic drinks,PERSON looks at the price of PRE PHRASE.
1,size,wedding party,birthday party,office party,parties,PERSON attends PRE PHRASE
1,sound,gymnasium,library,classroom,places in schools,PERSON is sitting in PRE PHRASE
1,temperature,coffee,water,tea,drinks,PERSON takes their first sip from a cup of PHRASE.
1,time,yacht,rubber dingy,sailboat,boats,PERSON looks at their friend’s PHRASE
1,weight,piece of furniture,piece of clothing,box,things you carry when moving,PERSON is helping their friend move. They pick up PRE PHRASE
2,height,bamboo tree,banana tree,alpine tree,Trees,PERSON looks at a PRE PHRASE.
2,price,Apple phone,Nokia phone,Samsung phone,Cellphones,PERSON is a cell phone and looks at the price of PRE PHRASE
2,size,villa,apartment,townhouse,Houses,PERSON is looking for a place to live and checks out PRE PHRASE
2,weight,truck,motorcycle,car,Vehicles,PERSON is learning about at the weights of different vehicles and looks up the weight a particular PHRASE
3,price,rose,daisy,orchid,Flowers,PERSON is shopping for flowers and looks at the price of a particular PHRASE
3,size,tree,bush,hedge,landscaping,PERSON is thinking about doing some landscaping and looks at the size of a particular
3,time,movie,TV show,documentary,Entertainment,PERSON is thinking about watching something on Netflix and looks at the duration of a particular PHRASE
3,weight,couch,dining chair,arm chair,Furniture,PERSON is helping their friend move. They pick up PRE PHRASE
4,sound,restaurant,library,store,stores,PERSON is having a meeting in PRE PHRASE.
4,temperature,soup,ice cream,piece of fruit,food,PERSON sits down to eat their
4,weight,adult,baby,kid,human,"PERSON picks up Pat, PRE PHRASE"
5,price,steak house,diner,buffet,restaurants,PERSON is considering different places for dinner and looks at the menu of PRE PHRASE
5,sound,concert,library,sporting event,places to go,PERSON goes to PRE PHRASE on a Saturday night. 
5,weight,brick,feather,rock,objects,PERSON picks up PRE PHRASE
7,darkness,day,night,dusk,times of the day,
7,height,palm tree,apple tree,fir tree,trees,
7,price,gold,plastic,silver,jewlery,
7,size,dogs,dogs,dogs,animals,
7,sound,roosters,hummingbird,parrot,birds,
7,temperature,summer,winter,fall,seasons,
7,time,snake,worm,millipeed,insects,
7,weight,watermelon,apple,canteloupe,fruit,
8,darkness,homes,buildings,restaurants ,brightness ,
8,height,plant,trees,trees,height,
