,NPs,Frequencies
0,birds,19695831
1,times day,8984
2,floors,7863848
3,sweets,2968535
4,animals,58179731
5,athletes,7268360
6,dogs,28409576
7,readings,8678675
8,rooms,65454304
9,alcoholic drinks,377118
10,statues,2837498
11,plants,35939932
12,people,480323270
13,storms,3614108
14,food,180152837
15,seasons,12035578
16,holes,11529497
17,roads,15093824
18,birds,19695831
19,crows,1295877
20,parrots,1049654
21,seagulls,329923
22,days,305158140
23,times of day,99907
24,nights,21265731
25,carpets,2768582
26,floors,7863848
27,chocolate,23380830
28,sweets,2968535
29,jolly ranchers,10556
30,marshmallows,301577
31,giraffes,260416
32,animals,58179731
33,monkeys,4144229
34,basketball players,174833
35,golfers,1664649
36,people,480323270
37,jockeys,875781
38,dogs,28409576
39,chihuahuas,164502
40,novels,7525142
41,poems,12665322
42,stories,115510308
43,cats,15738388
44,donkeys,427065
45,rooms,65454304
46,classrooms,4002675
47,study halls,17223
48,beer,20488618
49,liquor,4727755
50,wines,8940774
51,bottles of wine,127405
52,statues,2837498
53,decorations,4606704
54,elephants,2082778
55,mice,11969407
56,bushes,1558141
57,flowers,58380229
58,trees,27379426
59,cheetahs,217628
60,sloths,57052
61,joggers,260504
62,runners,3917217
63,walkers,1526422
64,adults,32847475
65,children,206543771
66,teenagers,4979216
67,hurricanes,3785008
68,rain,26429782
69,storms,3614108
70,thunderstorms,1410569
71,foods,21151195
72,ice creams,124062
73,salads,2387032
74,soups,2141445
75,summer days,229054
76,winter days,80466
77,fish,52768568
78,babies,13073168
79,kids,96621142
80,caves,2358085
81,caverns,572761
82,holes,11529497
83,fox holes,4713
84,streets,15936688
85,highways,5745573
86,roads,15093824
