degree,superordinate,np_match,np_positiveness,adj,adj_positiveness,diff,matchingSuper,matchingSuperResp,cleanedPhrase,n,n_unique_resps,mode,isModeNP,isModeSuper,isModeNeither,isModeNP2,isModeSuper2,cleanMode
strength,people,adult,positive,weak,negative,0,1,0,_people_,2,2,adults,1,0,1,0,0,adults
strength,people,adult,positive,weak,negative,1,0,0,_adult_,1,1,adults,1,0,1,0,0,adults
strength,people,adult,positive,weak,negative,1,0,0,_adults_,4,4,adults,1,0,1,0,0,adults
weight,people,adult,positive,light,negative,0,1,0,_people_,1,1,adults,1,0,1,0,0,adults
weight,people,adult,positive,light,negative,1,0,0,_adults_,7,7,adults,1,0,1,0,0,adults
speed,animals,cheetah,positive,quick,positive,0,0,0,_cats_,2,2,animals,0,0,0,0,0,animals
speed,animals,cheetah,positive,quick,positive,0,0,0,_types land mammals_,1,1,animals,0,0,0,0,0,animals
speed,animals,cheetah,positive,quick,positive,0,1,0,_animals running_,1,1,animals,0,0,0,0,0,animals
speed,animals,cheetah,positive,quick,positive,0,1,0,_animals zoo_,1,1,animals,0,0,0,0,0,animals
speed,animals,cheetah,positive,quick,positive,0,1,0,_animals_,12,12,animals,0,0,0,0,0,animals
speed,animals,cheetah,positive,quick,positive,1,0,0,_cheetahhs zoo_,1,1,animals,0,0,0,0,0,animals
loudness,animals,donkey,positive,loud,positive,0,0,0,_noiss_,1,1,animals,0,0,0,0,0,animals
loudness,animals,donkey,positive,loud,positive,0,1,0,_animals_,10,10,animals,0,0,0,0,0,animals
loudness,animals,donkey,positive,loud,positive,1,0,0,_donkeys_,1,1,animals,0,0,0,0,0,animals
size,animals,elephant,positive,big,positive,0,1,0,_animals_,8,8,animals,0,0,0,0,0,animals
size,animals,elephant,positive,big,positive,0,1,0,_zoo animals_,1,1,animals,0,0,0,0,0,animals
size,animals,elephant,positive,big,positive,1,0,0,_elephants_,4,4,animals,0,0,0,0,0,animals
speed,animals,elephant,neither-nor,slow,negative,0,1,0,_animals_,10,10,animals,0,0,0,0,0,animals
speed,animals,elephant,neither-nor,slow,negative,1,0,0,_elephants_,1,1,animals,0,0,0,0,0,animals
weight,animals,elephant,positive,heavy,positive,0,1,0,_animals_,13,13,animals,0,0,0,0,0,animals
weight,animals,elephant,positive,heavy,positive,1,0,0,_elephants_,1,1,animals,0,0,0,0,0,animals
height,animals,giraffe,positive,tall,positive,0,0,0,_people_,1,1,animals,0,0,0,0,0,animals
height,animals,giraffe,positive,tall,positive,0,1,0,_animals_,5,5,animals,0,0,0,0,0,animals
height,animals,giraffe,positive,tall,positive,1,0,0,_giraffes_,3,3,animals,0,0,0,0,0,animals
speed,animals,sloth,negative,slow,negative,0,1,0,_animals_,8,8,animals,0,0,0,0,0,animals
speed,animals,sloth,negative,slow,negative,1,0,0,_sloth_,1,1,animals,0,0,0,0,0,animals
weight,people,baby,negative,heavy,positive,1,0,0,_baby_,7,7,baby,0,0,0,0,0,babies
weight,people,baby,negative,light,negative,0,0,0,_objects_,1,1,baby,0,0,0,0,0,babies
weight,people,baby,negative,light,negative,1,0,0,_baby_,9,9,baby,0,0,0,0,0,babies
height,athletes,basketball,positive,short,negative,0,0,0,_players_,2,2,basketball players,1,0,1,0,0,basketball players
height,athletes,basketball,positive,short,negative,1,0,0,_basketball players_,13,13,basketball players,1,0,1,0,0,basketball players
height,athletes,basketball,positive,tall,positive,0,0,0,_people_,3,3,basketball players,1,0,1,0,0,basketball players
height,athletes,basketball,positive,tall,positive,0,0,0,_players_,1,1,basketball players,1,0,1,0,0,basketball players
height,athletes,basketball,positive,tall,positive,0,1,0,_athletes_,1,1,basketball players,1,0,1,0,0,basketball players
height,athletes,basketball,positive,tall,positive,1,0,0,_basketball players_,5,5,basketball players,1,0,1,0,0,basketball players
price,alcoholic drinks,beer,negative,cheap,negative,0,0,0,_liquor stores_,1,1,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,cheap,negative,1,0,0,_beer_,7,7,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,cheap,negative,1,0,0,_beers_,2,2,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,expensive,positive,0,0,0,_liquor store prices_,1,1,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,expensive,positive,0,0,0,_stores_,1,1,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,expensive,positive,1,0,0,_beer beer_,1,1,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,expensive,positive,1,0,0,_beer_,7,7,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,expensive,positive,1,0,0,_beers_,4,4,beer,0,0,0,0,0,beer
height,animals,bird,negative,short,negative,0,1,0,_animals_,3,3,birds,1,0,1,0,0,birds
height,animals,bird,negative,short,negative,1,0,0,_birds zoo_,1,1,birds,1,0,1,0,0,birds
height,animals,bird,negative,short,negative,1,0,0,_birds_,11,11,birds,1,0,1,0,0,birds
height,animals,bird,negative,tall,positive,0,1,0,_animals_,2,2,birds,1,0,1,0,0,birds
height,animals,bird,negative,tall,positive,1,0,0,_birds_,13,13,birds,1,0,1,0,0,birds
