model_variant,subordinateCC_r2,subordinateCC_mse,adjEndorse_r2,adjEndorse_mse
Flat Prior,0.1391031976221936,0.0765676541996954,0.9838349424830019,0.004016003139239931
Frequency effect,0.19761063433452683,0.07625134559396919,0.9852783077165381,0.0036617013538706926
Basic-level bias,0.6524805005738756,0.027671180111118,0.9836884751786641,0.0048810100791563844
Basic-level and Frequency,0.7529843277149787,0.019231604038190693,0.988782174743467,0.0027958825741196177
