model_variant,subordinateCC,adjEndorse,log_bf
Flat Prior,0.17043969222414654,0.976823030930328,-4055.8615577100136
Frequency effect,0.5173452513969067,0.9836851976769667,-3088.5765834837075
Basic-level bias,0.7283858977323269,0.9872453719716987,-1079.3460836598824
Basic-level and Frequency,0.7774286342505713,0.986918525308987,0
