model_variant,stim_id,subordinate,task,adj_polarity,MAP,cred_upper,cred_lower,param_name
byItem-intercept_single-slope,beta,frequency,basic_super,byItem-intercept_single-slope,0.20041663819284394,0.22776444245549118,0.09375139871605787,byItem-intercept_single-slope_beta_frequency_basic_super
byItem-intercept_single-slope,beta,frequency,sub_basic,byItem-intercept_single-slope,0.20041663819284394,0.22776444245549118,0.09375139871605787,byItem-intercept_single-slope_beta_frequency_sub_basic
byItem-intercept_single-slope,beta,intercept,basic_super,byItem-intercept_single-slope,1.7242101663829503,1.799996223229052,1.5478729616701026,byItem-intercept_single-slope_beta_intercept_basic_super
byItem-intercept_single-slope,beta,intercept,sub_basic,byItem-intercept_single-slope,0.06292993477329933,0.08350914887072364,-0.17527211230231401,byItem-intercept_single-slope_beta_intercept_sub_basic
byItem-intercept_single-slope,speakerOptimality,adjEndorse,NA,byItem-intercept_single-slope,4.857745423022792,5.868817459578882,4.461716226898939,byItem-intercept_single-slope_speakerOptimality_adjEndorse_NA
byItem-intercept_single-slope,speakerOptimality,subordinateCC,NA,byItem-intercept_single-slope,1.5220376699899214,1.6256175482808963,1.265219653957025,byItem-intercept_single-slope_speakerOptimality_subordinateCC_NA
flat,speakerOptimality,adjEndorse,NA,flat,4.984409252504091,11.968027603958461,4.6955864606398965,flat_speakerOptimality_adjEndorse_NA
flat,speakerOptimality,subordinateCC,NA,flat,19.8447671488057,19.997206931256983,1.3669750635783247,flat_speakerOptimality_subordinateCC_NA
intercept,beta,frequency,basic_super,intercept,-9.27497214394446e-4,0,0,intercept_beta_frequency_basic_super
intercept,beta,frequency,sub_basic,intercept,-9.27497214394446e-4,0,0,intercept_beta_frequency_sub_basic
intercept,beta,intercept,basic_super,intercept,1.4074980967868178,1.5183821722424926,1.3635766170120733,intercept_beta_intercept_basic_super
intercept,beta,intercept,sub_basic,intercept,-0.5821910632006293,-0.4895849227906341,-0.647625013341793,intercept_beta_intercept_sub_basic
intercept,speakerOptimality,adjEndorse,NA,intercept,5.41008000673814,8.947527548205693,4.533772842065364,intercept_speakerOptimality_adjEndorse_NA
intercept,speakerOptimality,subordinateCC,NA,intercept,19.566185310137207,19.972005719114108,1.3043525506493918,intercept_speakerOptimality_subordinateCC_NA
slope,beta,frequency,basic_super,slope,0.03853401727750125,0.04299635129624502,0.02928423439531702,slope_beta_frequency_basic_super
slope,beta,frequency,sub_basic,slope,0.03853401727750125,0.04299635129624502,0.02928423439531702,slope_beta_frequency_sub_basic
slope,beta,intercept,basic_super,slope,-9.27497214394446e-4,0,0,slope_beta_intercept_basic_super
slope,beta,intercept,sub_basic,slope,-9.27497214394446e-4,0,0,slope_beta_intercept_sub_basic
slope,speakerOptimality,adjEndorse,NA,slope,4.97137379231872,5.078220145535921,3.9233254425704693,slope_speakerOptimality_adjEndorse_NA
slope,speakerOptimality,subordinateCC,NA,slope,1.5365990004628478,1.6681273455703132,1.3091166543168804,slope_speakerOptimality_subordinateCC_NA
