workerid,stim_id,degree,superordinate_pl,adj,adj_polarity,NP_sg,NP_pl,np_expectations,response,specific,subFreq,superFreq
workerid_0020,51,size,flowers,big,positive,flower,flowers,low,flowers,0,58380229,58380229
workerid_0177,51,size,flowers,small,negative,flower,flowers,low,flowers,0,58380229,58380229
workerid_0177,32,loudness_n,concerts,noisy,positive,concert,concerts,high,concerts,0,8711738,8711738
workerid_0222,32,loudness_n,concerts,quiet,negative,concert,concerts,high,concerts,0,8711738,8711738
workerid_0397,32,loudness_n,concerts,quiet,negative,concert,concerts,high,concerts,0,8711738,8711738
workerid_0401,32,loudness_n,concerts,quiet,negative,concert,concerts,high,concerts,0,8711738,8711738
workerid_0428,32,loudness_n,concerts,noisy,positive,concert,concerts,high,concerts,0,8711738,8711738
workerid_0584,51,size,flowers,small,negative,flower,flowers,low,flowers,0,58380229,58380229
workerid_0696,32,loudness_n,concerts,noisy,positive,concert,concerts,high,concerts,0,8711738,8711738
workerid_0702,34,loudness_n,instruments,quiet,negative,guitar,guitars,medium,instruments,0,7278585,48493077
workerid_0770,32,loudness_n,concerts,noisy,positive,concert,concerts,high,concerts,0,8711738,8711738
workerid_0001,40,loudness,guitars,loud,positive,ukelele,ukeleles,low,guitars,0,11454,7278585
workerid_0001,5,darkness,scripts,dark,negative,pen,pens,medium,scripts,0,5794539,17337654
workerid_0002,31,loudness_n,animals,quiet,negative,cat,cats,medium,animals,0,15738388,58179731
workerid_0002,40,loudness,music,loud,positive,acoustic guitar,acoustic guitars,medium,music,0,549025,414072994
workerid_0002,24,length,trucks,short,negative,pick-up truck,pick up trucks,medium,trucks,0,21984,13809070
workerid_0002,64,speed,animals,quick,positive,cat,cats,medium,animals,0,15738388,58179731
workerid_0003,90,width,gates,narrow,negative,front gate,front gates,high,gates,0,16932,10736908
workerid_0003,33,loudness_n,animals,loud,positive,rooster,roosters,high,animals,0,328337,58179731
workerid_0003,38,loudness,animals,loud,positive,owl,owls,low,animals,0,2208765,58179731
workerid_0003,69,strength,people,weak,negative,golfer,golfers,low,people,0,1664649,480323270
workerid_0004,75,temperature_h,kitchens,warm,positive,oven,ovens,high, kitchens,0,3443150,2897588
workerid_0006,79,weight,people,heavy,positive,baby,babies,low,people,0,13073168,480323270
workerid_0007,7,darkness,coats,light,positive,spaniel,spaniels,medium,coats,0,195570,4107452
workerid_0007,90,width,gates,narrow,negative,front gate,front gates,high,gates,0,16932,10736908
workerid_0008,31,loudness_n,birds,loud,positive,parrot,parrots,high,birds,0,1049654,19695831
workerid_0009,40,loudness,instruments,quiet,negative,bass guitar,bass guitars,high,instruments,0,445282,48493077
workerid_0009,74,temperature,days,cold,negative,winter,winter days,low,days,0,80466,305158140
workerid_0009,10,hardness,food,soft,negative,marshmallow,marshmallows,low,food,0,301577,180152837
workerid_0010,83,weight,fabrics,light,negative,wool,wool,high,fabrics,0,7657323,5153175
workerid_0010,13,hardness,fabrics,soft,negative,wood,wood,high,fabrics,0,51133768,5153175
workerid_0010,90,width,doors,wide,positive,patio door,patio doors,medium,doors,0,222702,20230179
workerid_0011,83,weight,fabrics,light,negative,silk,silks,low,fabrics,0,418180,5153175
workerid_0011,74,temperature,days,warm,positive,summer,summer days,high,days,0,229054,305158140
workerid_0011,87,width,streets,wide,positive,downtown street,downtown streets,medium,streets,0,28751,15936688
workerid_0012,69,strength,people,strong,positive,cyclist,cyclists,medium,people,0,1228897,480323270
workerid_0013,7,darkness,coats,dark,negative,spaniel,spaniels,medium,coats,0,195570,4107452
workerid_0013,74,temperature,days,cold,negative,summer,summer days,high,days,0,229054,305158140
workerid_0013,4,darkness,evenings,dark,negative,dusk,dusks,medium,evenings,0,3542,3008865
workerid_0014,69,strength,people,strong,positive,wrestler,wrestlers,high,people,0,772270,480323270
workerid_0014,87,width,streets,narrow,negative,downtown street,downtown streets,medium,streets,0,28751,15936688
workerid_0014,90,width,furniture,wide,positive,back door,back doors,low,furniture,0,70114,67400151
workerid_0014,74,temperature,days,warm,positive,summer,summer days,high,days,0,229054,305158140
workerid_0015,1,darkness,birds,light,positive,parrot,parrots,medium,birds,0,1049654,19695831
workerid_0015,78,weight,things,heavy,positive,fish,fish,low,things,0,52768568,147983507
workerid_0015,69,strength,people,weak,negative,golfer,golfers,low,people,0,1664649,480323270
workerid_0016,83,weight,fabrics,light,negative,wool,wool,high,fabrics,0,7657323,5153175
workerid_0016,90,width,doors,wide,positive,patio door,patio doors,medium,doors,0,222702,20230179
workerid_0017,66,speed_f,vehicles,fast,positive,helicopter,helicopters,medium,vehicles,0,2682275,37254742
workerid_0017,90,width,furniture,narrow,negative,patio door,patio doors,medium,furniture,0,222702,67400151
workerid_0017,7,darkness,dogs,light,positive,pitbull,pitbulls,low,dogs,0,100803,28409576
workerid_0017,29,loudness,music,loud,positive,rock concert,rock concerts,high,music,0,67033,414072994
workerid_0017,83,weight,things,light,negative,cotton,cottons,medium,things,0,214521,147983507
workerid_0017,69,strength,athletes,weak,negative,cyclist,cyclists,medium,athletes,0,1228897,7268360
workerid_0017,31,loudness_n,pets,loud,positive,fish,fish,low,pets,0,52768568,26155002
workerid_0017,76,temperature_h,places,hot,positive,sauna,saunas,high,places,0,934002,51698261
workerid_0017,3,darkness,cakes,light,positive,chocolate cake,chocolate cakes,low,cakes,0,32745,5565768
workerid_0018,64,speed,animals,slow,negative,turtle,turtles,low,animals,0,2572647,58179731
workerid_0018,90,width,doorways,narrow,negative,back door,back doors,low,doorways,0,70114,374115
workerid_0018,40,loudness,instruments,loud,positive,ukelele,ukeleles,low,instruments,0,11454,48493077
workerid_0018,24,length,trucks,long,positive,pick-up truck,pick up trucks,medium,trucks,0,21984,13809070
workerid_0019,67,strength,boxes,strong,positive,child,children,low,boxes,0,206543771,25790443
workerid_0020,87,width,streets,narrow,negative,downtown street,downtown streets,medium,streets,0,28751,15936688
workerid_0020,50,price,dinners,cheap,negative,Japanese restaurant,japanese restaurants,high,dinners,0,183928,1868829
workerid_0022,41,price,decor,cheap,negative,platinum,platinum statue,high,decor,0,503,12099181
workerid_0022,41,price,decor,cheap,negative,plastic,plastic statues,low,decor,0,707,12099181
