,NPs,Frequencies
0,coats,4107452
1,objects,33848628
2,kitchens,2897588
3,rivers,11240148
4,bracelets,6784458
5,guitars,7278585
6,storms,3614108
7,floors,7863848
8,papers,51025238
9,meats,2168286
10,surfaces,8610304
11,environments,13333726
12,areas,121988686
13,venues,9389442
14,cakes,5565768
15,vegetables,9067552
16,people,480323270
17,string instruments,123928
18,stores,141213528
19,rentals,61539717
20,roads,15093824
21,food,180152837
22,shoes,80761516
23,animal dens,324
24,weightlifters,26692
25,trees,27379426
26,clothes,27039649
27,statues,2837498
28,traffic,57242495
29,decor,12099181
30,routes,9616739
31,bikes,10741844
32,lifters,297063
33,items,330511239
34,music,414072994
35,weather,103332440
36,structures,25465400
37,scripts,17337654
38,melons,1015937
39,animals,58179731
40,drinks,11137329
41,bouquets,2237840
42,maps,63957725
43,wood,51133768
44,habitats,3505167
45,furniture,67400151
46,paint colors,83964
47,machines,37791829
48,desserts,3720781
49,paintings,10907227
50,berries,1879643
51,movies,182764607
52,runners,3917217
53,spices,2836609
54,rodents,922613
55,cookware,3617598
56,houses,29896478
57,walkers,1526422
58,candies,1298890
59,doors,20230179
60,electronic devices,631257
61,highways,5745573
62,stoves,2147560
63,times of day,99907
64,materials,83903351
65,colors,27913613
66,bird sounds,18961
67,shades,5133522
68,restaurants,58580418
69,vehicles,37254742
70,rallies,1276149
71,parks,25975912
72,audios,313133
73,fabrics,5153175
74,cities,59810742
75,aquariums,983409
76,evenings,3008865
77,buildings,27623285
78,seasons,12035578
79,instruments,48493077
80,distances,5296572
81,trucks,13809070
82,dogs,28409576
83,pets,26155002
84,writing utensils,12576
85,meals,11515834
86,places,51698261
87,athletes,7268360
88,cats,15738388
89,cars,109722086
90,birds,19695831
91,concerts,8711738
92,fruits,7957960
93,walls,14838230
94,locations,58471896
95,things,147983507
96,nights,21265731
97,rooms,65454304
98,fish,52768568
99,towns,13337599
100,flowers,58380229
101,smells,2298156
102,bedboards,2487
103,streets,15936688
104,transportation,53123660
105,days,305158140
106,alcoholic drinks,377118
107,songs,49286341
108,paints,3617496
109,waterways,1843915
110,forests,8729753
111,products,414385829
112,boxes,25790443
113,insects,5119814
114,plants,35939932
115,aircrafts,237522
116,motors,13564359
117,paint smells,972
118,doorways,374115
119,dinners,1868829
120,lakes,14947783
121,boats,15603129
122,appliances,23847029
123,banks,30584319
124,jewelry,72582016
125,spaces,15662133
126,electronics,104231690
127,liquids,2327187
128,walkways,586893
