stim_id,degree,context_sentence,superordinate,np,np_expectations,adj,adj_polarity,np_match,originalResponse,cat_cleaned,specific,matchingSuper,mode_np,np_pl,superordinate.freq
40,loudness,Kim wants to play music and tries out an ukelele.,guitars,ukelele,low,loud,positive,ukelele,things in the room,things,0,0,guitars,ukeleles,guitars
42,price,Daniel is looking to rent a new place and checks out an apartment.,rentals,apartment,low,cheap,negative,apartment,costs of living,rentals,0,1,rentals,apartments,rentals
5,darkness,David is writing with a pen and notices the color of the script.,scripts,pen,medium,dark,negative,pen,scripts,script,0,0,scripts,pens,scripts
31,loudness_n,Michelle is at a friend's place and hears her pet cat.,pets,cat,medium,quiet,negative,cat,animals,animals,0,0,pets,cats,pets
40,loudness,John wants to play music and tries out an acoustic guitar.,guitars,acoustic guitar,medium,loud,positive,acoustic guitar,music,music,0,0,guitars,acoustic guitars,guitars
24,length_duration,Kim sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,short,negative,pick-up,trucks,truck,0,0,vehicles,pick up trucks,vehicles
64,speed,Eric is at a friend's house and sees their pet cat come towards them.,pets,cat,medium,quick,positive,cat,animals,animals,0,0,pets,cats,pets
24,length_duration,Michael sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,short,negative,pick-up,pick-up trucks,pick-up truck,1,0,pick-up truck,pick up trucks,vehicles
33,loudness_n,Greg is taking a walk in a park and hears the cry of a rooster.,birds,rooster,high,loud,positive,rooster,animals,animals,0,0,birds,roosters,birds
38,loudness,Julia is in a forest and hears a owl.,birds,owl,low,loud,positive,owl,animals,animals,0,0,birds,owls,birds
69,strength,Gabriel is watching a golfer lift weights.,athletes,golfer,low,weak,negative,golfer,people,people,0,0,athletes,golfers,athletes
75,temperature_h,Lee is in his kitchen and puts his hand in the oven.,locations,oven,high,warm,positive,oven,parts of the kitchen,kitchen,0,0,locations,ovens,locations
38,loudness,Jennifer is in a forest and hears a owl.,birds,owl,low,quiet,negative,owl,parts of the forest,forest,0,0,birds,owls,birds
79,weight,Natalia lifts up a baby.,people,baby,low,heavy,positive,baby,small things,things,0,0,people,babies,people
24,length_duration,Kathleen sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,long,positive,pick-up,pick up trucks,pick-up truck,1,0,pick-up truck,pick up trucks,vehicles
61,speed,Mika wants to cook dinner and considers using a frying pan.,cookware,frying pan,medium,quick,positive,frying pan,dinners,dinner,0,0,cookware,frying pans,cookware
7,darkness,Michelle takes a walk and notices the coat of a spaniel.,dogs,spaniel,medium,light,positive,spaniel,coats,coat,0,0,dogs,spaniels,dogs
4,darkness,Lee steps outside during the night.,times of day,night,low,light,positive,night,streets,nights,1,0,night,nights,times of day
61,speed,Gabriel wants to cook dinner and considers using a frying pan.,cookware,frying pan,medium,slow,negative,frying pan,dinners,dinner,0,0,cookware,frying pans,cookware
31,loudness_n,Kim is at a friend's place and hears her pet parrot.,pets,parrot,high,loud,positive,parrot,birds,birds,0,0,pets,parrots,pets
40,loudness,Lee wants to play music and tries out a bass guitar.,guitars,bass guitar,high,quiet,negative,bass,instruments,instruments,0,0,guitars,bass guitars,guitars
10,hardness,Eric is eating a marshmallow.,candies,marshmallow,low,soft,negative,marshmallow,food,food,0,0,candies,marshmallows,candies
30,loudness_n,Angela meets a friend at a conference center.,venue,conference center,medium,quiet,negative,conference center,centers,centers,0,0,venue,conference centers,venues
83,weight,Lucas is at a craft shop and picks up a piece of wool.,materials,wool,high,light,negative,wool,fabric,fabric,0,0,materials,wool,materials
13,hardness,John is at a hardware store and picks up a piece of wood.,materials,wood,high,soft,negative,wood,fabric,fabric,0,0,materials,wood,materials
90,width,Eric is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,doors,doors,0,0,doorways,patio doors,doorways
