,NPs,Frequencies
0,saffron,939951
1,chalks,134762
2,crockpots,11879
3,shoes,80761516
4,dusks,3542
5,woodpeckers,219083
6,laptops,22190037
7,pick up trucks,21984
8,fruit,22768964
9,limousines,15896227
10,parrots,1049654
11,ukeleles,11454
12,sprints,444674
13,winter days,80466
14,plastic bracelets,3294
15,fruit cakes,17124
16,readings,8678675
17,oranges,1523633
18,owls,2208765
19,bass guitars,445282
20,motorcycles,5752821
21,plastic,35423760
22,materials,83903351
23,birds,19695831
24,bedboards,2487
25,chocolates,3141854
26,guitars,7278585
27,jaguars,1285032
28,saunas,934002
29,cheesecakes,267986
30,creeks,862386
31,chicken,20657359
32,movies,182764607
33,tigers,7002617
34,buildings,27623285
35,tuna,2844261
36,pork,5973716
37,mockingbirds,39837
38,fall days,12564
39,walkers,1526422
40,poems,12665322
41,ovens,3443150
42,pansies,176007
43,days,305158140
44,wood floors,352083
45,sitcoms,479686
46,electric cars,171936
47,rap concerts,1191
48,parties,52799939
49,appliances,23847029
50,people,480323270
51,babies,13073168
52,operas,812910
53,chocolate cakes,32745
54,alpine trees,1447
55,athletes,7268360
56,tomatoes,5924980
57,chinese restaurants,373328
58,audios,313133
59,carpet floors,38431
60,objects,33848628
61,plums,496751
62,rock concerts,67033
63,sharks,3302971
64,cottons,214521
65,dachshunds,116109
66,sailboats,498658
67,floors,7863848
68,stories,115510308
69,statues,2837498
70,pens,5794539
71,alcoholic drinks,377118
72,redwood trees,27197
73,rain showers,650392
74,country lanes,51288
75,feathers,2297128
76,flowers,58380229
77,rivers,11240148
78,steaks,1646745
79,cars,109722086
80,instruments,48493077
81,choirs,680332
82,panthers,3695915
83,pitbulls,100803
84,skyscrapers,550406
85,storms,3614108
86,gold bracelets,166222
87,adults,32847475
88,strawberries,1437661
89,relay races,15545
90,furniture,67400151
91,garlic,5884664
92,apartment buildings,312252
93,strip malls,60063
94,downtown streets,28751
95,podcast episodes,16668
96,rowboats,42015
97,hurricanes,3785008
98,times of day,99907
99,instant pot,354
100,poodles,255182
101,tents,3850460
102,bikes,10741844
103,rallies,1276149
104,sneakers,1435693
105,mansions,797050
106,meat,17654214
107,candies,1298890
108,nights,21265731
109,milkshakes,99722
110,basketball players,174833
111,giraffes,260416
112,acoustic guitars,549025
113,animals,58179731
114,pantries,105460
115,freezers,2253962
116,wall paints,3469
117,tractors,2141187
118,boots,18970389
119,chocolate fondues,1783
120,cakes,5565768
121,suits,7986526
122,spices,2836609
123,doorways,374115
124,side roads,35379
125,seagulls,329923
126,animal dens,324
127,drinks,11137329
128,monkeys,4144229
129,gliders,653558
130,coats,4107452
131,towns,13337599
132,bananas,1891241
133,tulips,1149010
134,fish,52768568
135,thunderstorms,1410569
136,metal bracelets,5274
137,planes,6448506
138,ice cream,6277647
139,rabbits,2987957
140,moths,804700
141,cheetahs,217628
142,powerboats,196244
143,novels,7525142
144,trucks,13809070
145,shirts,34765824
146,speedboats,40032
147,juices,1709952
148,liquors,518686
149,golfers,1664649
150,food,180152837
151,kids,96621142
152,songs,49286341
153,boats,15603129
154,marshmallows,301577
155,clothes,27039649
156,churches,13467005
157,pillows,3970202
158,highways,5745573
159,printers,26823567
160,trees,27379426
161,runners,3917217
162,cookware,3617598
163,roses,13588663
164,blue paints,543
165,scripts,17337654
166,libraries,28105939
167,tile floors,123821
168,frying pans,71800
169,boulevards,278244
170,elephants,2082778
171,cell phones,24281813
172,paints,3617496
173,ice rinks,65504
174,locations,58471896
175,peaches,1484097
176,chairs,15833441
177,black paints,820
178,trash cans,205208
179,joggers,260504
180,salts,2145134
181,wine bottles,127578
182,berries,1879643
183,dogs,28409576
184,cyclists,1228897
185,mice,11969407
186,snakes,2521893
187,turtles,2572647
188,vegetables,9067552
189,refrigerators,2078580
190,plants,35939932
191,triathlon races,1415
